Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:58:20.987 PM, Apr 22, 2015",96.8,0,6683099136,4895311056
"9:58:21.987 PM, Apr 22, 2015",95.7,0.2,6681526272,4171603848
"9:58:22.987 PM, Apr 22, 2015",71.7,1.1,6700400640,3024260768
"9:58:23.987 PM, Apr 22, 2015",97.2,1.9,6700400640,2826045432
"9:58:24.987 PM, Apr 22, 2015",95.9,0,6700400640,5317718776
"9:58:25.987 PM, Apr 22, 2015",95.9,0.4,6689390592,5186710016
"9:58:26.987 PM, Apr 22, 2015",96.5,0.3,6700400640,4664917984
"9:58:27.988 PM, Apr 22, 2015",83,0.3,6682050560,3675806704
"9:58:28.988 PM, Apr 22, 2015",100,2,6700400640,3530203168
"9:58:29.988 PM, Apr 22, 2015",96.1,2,6700400640,3162991712
"9:58:30.988 PM, Apr 22, 2015",96.1,0.3,6679953408,3096255344
"9:58:31.988 PM, Apr 22, 2015",96.6,0,6679953408,5261953312
"9:58:32.988 PM, Apr 22, 2015",87,0.2,6698303488,4294069248
"9:58:33.988 PM, Apr 22, 2015",83.4,1.6,6700400640,3903095600
"9:58:34.988 PM, Apr 22, 2015",95.8,2.2,6700400640,3501039560
"9:58:35.988 PM, Apr 22, 2015",96.9,0.3,6675234816,3480337920
"9:58:37.003 PM, Apr 22, 2015",97.4,0.3,6700400640,3156187952
"9:58:38.003 PM, Apr 22, 2015",96.1,0,6700400640,4915661840
"9:58:39.004 PM, Apr 22, 2015",78.6,1.3,6700400640,4265710296
"9:58:40.004 PM, Apr 22, 2015",93.9,2,6700400640,3913021928
"9:58:41.004 PM, Apr 22, 2015",99.9,0.6,6685196288,3729073096
"9:58:42.004 PM, Apr 22, 2015",95.2,0.3,6697779200,3484899952
"9:58:43.004 PM, Apr 22, 2015",96,0,6697779200,5305056192
"9:58:44.004 PM, Apr 22, 2015",77.4,0.3,6681526272,4420979040
"9:58:45.004 PM, Apr 22, 2015",95.3,1.9,6700400640,4276970432
"9:58:46.004 PM, Apr 22, 2015",94.5,2.1,6700400640,3767889848
"9:58:47.004 PM, Apr 22, 2015",94.5,0.4,6691487744,3621797464
"9:58:48.004 PM, Apr 22, 2015",100,0,6691487744,5609601016
"9:58:49.005 PM, Apr 22, 2015",75.6,0.3,6700400640,4464168976
"9:58:50.005 PM, Apr 22, 2015",92,1.6,6700400640,4358083728
"9:58:51.005 PM, Apr 22, 2015",96.5,2.1,6700400640,3953862144
"9:58:52.005 PM, Apr 22, 2015",95.4,0.4,6675234816,3870434728
"9:58:53.005 PM, Apr 22, 2015",96.9,0,6675234816,5969596280
"9:58:54.005 PM, Apr 22, 2015",95.9,0.3,6700400640,5069920208
"9:58:55.005 PM, Apr 22, 2015",78.3,1.4,6700400640,4523774280
"9:58:56.005 PM, Apr 22, 2015",36.5,10,6851919872,1227689672
"9:58:59.307 PM, Apr 22, 2015",0,0,6851919872,1227689672
"9:58:59.318 PM, Apr 22, 2015",0,0,6851919872,1227689672
"9:58:59.319 PM, Apr 22, 2015",0,0,6851919872,1227689672
"9:59:00.006 PM, Apr 22, 2015",95.2,0,6851919872,2923709352
"9:59:01.006 PM, Apr 22, 2015",100,0,6836715520,2646443888
"9:59:02.006 PM, Apr 22, 2015",94.6,0,6857162752,2049472336
"9:59:03.006 PM, Apr 22, 2015",75.2,0.1,6833569792,942543776
"9:59:04.006 PM, Apr 22, 2015",95,1.7,6857162752,1054027176
"9:59:05.006 PM, Apr 22, 2015",94.4,0,6857162752,3302977752
"9:59:06.007 PM, Apr 22, 2015",94,1.6,6857162752,2825566424
"9:59:07.007 PM, Apr 22, 2015",95.9,0,6835666944,2455494816
"9:59:08.008 PM, Apr 22, 2015",95.9,0,6856638464,1574288392
"9:59:09.007 PM, Apr 22, 2015",81.7,1.6,6857162752,1203191704
"9:59:10.007 PM, Apr 22, 2015",93.8,0,6857162752,3470065688
"9:59:11.007 PM, Apr 22, 2015",95.3,1.9,6857162752,3021913040
"9:59:12.007 PM, Apr 22, 2015",95.1,0.1,6832521216,2757419544
"9:59:13.007 PM, Apr 22, 2015",95.7,0,6857162752,2026243264
"9:59:14.008 PM, Apr 22, 2015",70.6,0,6857162752,3323917440
"9:59:15.008 PM, Apr 22, 2015",96.7,1.4,6857162752,3300386704
"9:59:16.008 PM, Apr 22, 2015",97,1.9,6848774144,3014039784
"9:59:17.008 PM, Apr 22, 2015",95.9,0.3,6830424064,2934050776
"9:59:18.008 PM, Apr 22, 2015",95.1,0.1,6855589888,2421309944
"9:59:19.008 PM, Apr 22, 2015",76.5,0,6855589888,3824960208
"9:59:20.008 PM, Apr 22, 2015",95.4,1,6857162752,3755135496
"9:59:21.008 PM, Apr 22, 2015",96.2,1.9,6857162752,3472368736
"9:59:22.008 PM, Apr 22, 2015",96.2,0.3,6857162752,3388225272
"9:59:23.009 PM, Apr 22, 2015",96.5,0.1,6839336960,2871012768
"9:59:24.009 PM, Apr 22, 2015",94.6,0.1,6857162752,1955836560
"9:59:25.009 PM, Apr 22, 2015",81.1,1.6,6857162752,1695185352
"9:59:26.009 PM, Apr 22, 2015",94.8,0,6857162752,4056913280
"9:59:27.009 PM, Apr 22, 2015",100,2.1,6857162752,3492026480
"9:59:28.009 PM, Apr 22, 2015",95.6,0.2,6842482688,3213593072
"9:59:29.009 PM, Apr 22, 2015",95.7,0.1,6857162752,2386910776
"9:59:30.009 PM, Apr 22, 2015",73.9,1.3,6857162752,1834185960
"9:59:31.009 PM, Apr 22, 2015",98.7,0,6857162752,3982004360
"9:59:32.009 PM, Apr 22, 2015",95,2,6857162752,3480335808
"9:59:33.010 PM, Apr 22, 2015",95.1,0.2,6831996928,3296549248
"9:59:34.010 PM, Apr 22, 2015",95.6,0.1,6857162752,2617745160
"9:59:35.010 PM, Apr 22, 2015",76.8,0,6857162752,4078929192
"9:59:36.010 PM, Apr 22, 2015",94.4,1.4,6857162752,3913510704
"9:59:37.010 PM, Apr 22, 2015",95.7,2.1,6851919872,3498124192
"9:59:38.010 PM, Apr 22, 2015",95.2,0.3,6839861248,3366601320
"9:59:39.010 PM, Apr 22, 2015",94.8,0.1,6857162752,2928326128
"9:59:40.010 PM, Apr 22, 2015",94.5,0,6857162752,4540093552
"9:59:41.010 PM, Apr 22, 2015",81.1,0.1,6838288384,4257728512
"9:59:42.011 PM, Apr 22, 2015",100,1.9,6857162752,3881266504
"9:59:43.011 PM, Apr 22, 2015",94.4,2.1,6857162752,3428430552
"9:59:44.011 PM, Apr 22, 2015",94,0.2,6835666944,3150562136
"9:59:45.011 PM, Apr 22, 2015",95,0.2,6855589888,2335147984
"9:59:46.011 PM, Apr 22, 2015",76.8,0,6855589888,4028401752
"9:59:47.011 PM, Apr 22, 2015",93.5,1.7,6857162752,3941557856
"9:59:48.011 PM, Apr 22, 2015",94.8,2.1,6857162752,3503258784
"9:59:49.012 PM, Apr 22, 2015",95.2,0.3,6832521216,3316132520
"9:59:50.012 PM, Apr 22, 2015",95.4,0.2,6857162752,2767639920
"9:59:51.012 PM, Apr 22, 2015",82.5,0,6857162752,4237479336
"9:59:52.012 PM, Apr 22, 2015",92.8,1.3,6857162752,4125334016
"9:59:53.012 PM, Apr 22, 2015",95.2,2.1,6849822720,3730725248
"9:59:54.012 PM, Apr 22, 2015",99.4,0.3,6832521216,3504307568
"9:59:55.013 PM, Apr 22, 2015",94.7,0.2,6854541312,3091979336
"9:59:56.014 PM, Apr 22, 2015",96.3,0,6854541312,4766342104
"9:59:57.014 PM, Apr 22, 2015",72.9,0.3,6835666944,4139572120
"9:59:58.014 PM, Apr 22, 2015",94.8,1.9,6857162752,3917498320
"9:59:59.014 PM, Apr 22, 2015",94.6,2.3,6857162752,3382920896
"10:00:00.014 PM, Apr 22, 2015",95.3,0.2,6844055552,3156381872
"10:00:01.014 PM, Apr 22, 2015",96.3,0,6844055552,5021247584
"10:00:02.014 PM, Apr 22, 2015",76.4,0.4,6857162752,3939234784
"10:00:03.015 PM, Apr 22, 2015",95.3,1.7,6857162752,3857278288
"10:00:04.015 PM, Apr 22, 2015",95.1,2.1,6857162752,3409333280
"10:00:05.015 PM, Apr 22, 2015",93.2,0.3,6831472640,3240089440
"10:00:06.015 PM, Apr 22, 2015",98.5,0.3,6857162752,2822352344
"10:00:07.015 PM, Apr 22, 2015",93.9,0,6857162752,4409566896
"10:00:08.015 PM, Apr 22, 2015",79,1.4,6857162752,3994206752
"10:00:09.015 PM, Apr 22, 2015",95,2,6850347008,3630560640
"10:00:10.015 PM, Apr 22, 2015",96.1,0.3,6839861248,3482743200
"10:00:11.019 PM, Apr 22, 2015",99.5,0.3,6837239808,3051046232
"10:00:12.019 PM, Apr 22, 2015",95.2,0,6837239808,4794605776
"10:00:13.020 PM, Apr 22, 2015",79.4,0.4,6839336960,4018522296
"10:00:14.020 PM, Apr 22, 2015",93.3,1.9,6857162752,3877768176
"10:00:15.020 PM, Apr 22, 2015",92.3,2.2,6857162752,3407926360
"10:00:16.020 PM, Apr 22, 2015",95.9,0.3,6835142656,3212842960
"10:00:17.020 PM, Apr 22, 2015",100,0,6835142656,5128449840
"10:00:18.020 PM, Apr 22, 2015",78.5,0.3,6856114176,4014710208
"10:00:19.020 PM, Apr 22, 2015",88.9,1.8,6857162752,3743646464
"10:00:20.020 PM, Apr 22, 2015",93,2,6857162752,3307230664
"10:00:21.020 PM, Apr 22, 2015",94.6,0.6,6831472640,3307017672
"10:00:22.021 PM, Apr 22, 2015",96.7,0,6831472640,5545372744
"10:00:23.021 PM, Apr 22, 2015",95.8,0.3,6857162752,4767060152
"10:00:24.021 PM, Apr 22, 2015",75.1,1.3,6857162752,4229504064
"10:00:25.021 PM, Apr 22, 2015",96,2,6850871296,3922625112
"10:00:26.021 PM, Apr 22, 2015",94.1,0.6,6833569792,3792851992
"10:00:27.021 PM, Apr 22, 2015",95.8,0.3,6854541312,3488403208
"10:00:28.021 PM, Apr 22, 2015",96.4,0,6854541312,5268207376
"10:00:29.021 PM, Apr 22, 2015",80.2,0.4,6835666944,4208460976
"10:00:30.021 PM, Apr 22, 2015",94,1.9,6857162752,4162889720
"10:00:31.022 PM, Apr 22, 2015",94.6,2.2,6857162752,3630411880
"10:00:32.022 PM, Apr 22, 2015",96,0,6857162752,5965282240
"10:00:33.022 PM, Apr 22, 2015",95.2,0.4,6844579840,5388917840
"10:00:34.022 PM, Apr 22, 2015",91.6,0.3,6857162752,4413818944
"10:00:35.025 PM, Apr 22, 2015",74.3,1.9,6857162752,3830216784
"10:00:36.025 PM, Apr 22, 2015",97.4,1.8,6857162752,3789666600
"10:00:37.025 PM, Apr 22, 2015",94.4,0,6857162752,5765800712
"10:00:38.025 PM, Apr 22, 2015",95.2,0.5,6840385536,5468098312
"10:00:39.025 PM, Apr 22, 2015",96.6,0.3,6857162752,4784953880
"10:00:40.025 PM, Apr 22, 2015",77.1,1.5,6857162752,3928361992
"10:00:41.031 PM, Apr 22, 2015",38.6,9.4,7013400576,1164919096
"10:00:44.525 PM, Apr 22, 2015",100,0,7013400576,1410357728
"10:00:44.644 PM, Apr 22, 2015",0,0,7013400576,1410357728
"10:00:44.646 PM, Apr 22, 2015",0,0,7013400576,1410357728
"10:00:45.028 PM, Apr 22, 2015",93.1,0,7013400576,2411713888
"10:00:46.028 PM, Apr 22, 2015",95.2,0,7006584832,2357135264
"10:00:47.028 PM, Apr 22, 2015",95.5,0,7002390528,1859567984
"10:00:48.028 PM, Apr 22, 2015",87.9,0,7002390528,3403771792
"10:00:49.028 PM, Apr 22, 2015",87.6,1.5,7023886336,1054026840
"10:00:50.028 PM, Apr 22, 2015",100,0,7023886336,3211227848
"10:00:51.028 PM, Apr 22, 2015",95.8,2.1,7023886336,2818769280
"10:00:52.029 PM, Apr 22, 2015",96.1,0,7000293376,2525818640
"10:00:53.029 PM, Apr 22, 2015",95.8,0,7023886336,1704581992
"10:00:54.029 PM, Apr 22, 2015",75.9,1.6,7023886336,1205396184
"10:00:55.029 PM, Apr 22, 2015",92.5,0,7023886336,3604437432
"10:00:56.029 PM, Apr 22, 2015",96.2,1.9,7023886336,3312582592
"10:00:57.029 PM, Apr 22, 2015",100,0.1,6997671936,3047573600
"10:00:58.029 PM, Apr 22, 2015",96.9,0,7023886336,2353281360
"10:00:59.029 PM, Apr 22, 2015",77.4,1.3,7023886336,1572037296
"10:01:00.029 PM, Apr 22, 2015",95.2,2.1,7017070592,1375306344
"10:01:01.029 PM, Apr 22, 2015",95.2,0,7017070592,3646771936
"10:01:02.030 PM, Apr 22, 2015",95.6,0.2,6998720512,3468343240
"10:01:03.030 PM, Apr 22, 2015",95.9,0.1,7021789184,2801777456
"10:01:04.030 PM, Apr 22, 2015",79,0.1,7002390528,1802291952
"10:01:05.046 PM, Apr 22, 2015",94.9,2,7023886336,1693866208
"10:01:06.035 PM, Apr 22, 2015",93.3,1.8,7023886336,1543730136
"10:01:07.035 PM, Apr 22, 2015",98.1,0,7023886336,3557594256
"10:01:08.036 PM, Apr 22, 2015",95.8,0.1,7012876288,3093165800
"10:01:09.036 PM, Apr 22, 2015",95.2,0.1,7023886336,2220585704
"10:01:10.036 PM, Apr 22, 2015",78.8,1.8,7023886336,1695471736
"10:01:11.036 PM, Apr 22, 2015",93.5,0,7023886336,4066285888
"10:01:12.036 PM, Apr 22, 2015",94.6,2,7023886336,3615273872
"10:01:13.036 PM, Apr 22, 2015",95.5,0.1,7009730560,3331331400
"10:01:14.036 PM, Apr 22, 2015",98.9,0.3,7023886336,2543635704
"10:01:15.036 PM, Apr 22, 2015",72.8,1.2,7023886336,1818644248
"10:01:16.036 PM, Apr 22, 2015",95.6,0,7023886336,3932632048
"10:01:17.037 PM, Apr 22, 2015",93.9,2,7013400576,3538467456
"10:01:18.037 PM, Apr 22, 2015",95.6,0.2,7006060544,3395536424
"10:01:19.037 PM, Apr 22, 2015",95.9,0.1,7002390528,2819454056
"10:01:20.037 PM, Apr 22, 2015",84.1,0,7002390528,4279956624
"10:01:21.037 PM, Apr 22, 2015",86.2,0.9,7013924864,4159051040
"10:01:22.037 PM, Apr 22, 2015",96.1,1.9,7023886336,3790816384
"10:01:23.037 PM, Apr 22, 2015",94.8,0.5,7022837760,3602563880
"10:01:24.037 PM, Apr 22, 2015",95.6,0.2,7005011968,3211340776
"10:01:25.037 PM, Apr 22, 2015",95.4,0.2,7021789184,2336269192
"10:01:26.038 PM, Apr 22, 2015",72.9,0,7021789184,4276512416
"10:01:27.038 PM, Apr 22, 2015",99.5,1.8,7023886336,3906451560
"10:01:28.038 PM, Apr 22, 2015",94.7,2,7023886336,3462143760
"10:01:29.038 PM, Apr 22, 2015",94.9,0.4,7001341952,3178098480
"10:01:30.038 PM, Apr 22, 2015",95.6,0.2,7023362048,2510331344
"10:01:31.038 PM, Apr 22, 2015",72.1,0,7023362048,3927909032
"10:01:32.038 PM, Apr 22, 2015",95.5,1.5,7023886336,3854811976
"10:01:33.038 PM, Apr 22, 2015",92.8,2,7023886336,3476265696
"10:01:34.038 PM, Apr 22, 2015",95.9,0.2,6998196224,3339289664
"10:01:35.038 PM, Apr 22, 2015",93.6,0.4,7023886336,2791389704
"10:01:36.039 PM, Apr 22, 2015",100,0,7023886336,4325864264
"10:01:37.039 PM, Apr 22, 2015",68.6,1.1,7023886336,3452876928
"10:01:38.039 PM, Apr 22, 2015",94.8,1.9,7023886336,3117734976
"10:01:39.039 PM, Apr 22, 2015",93.5,0.3,7009206272,3003562896
"10:01:40.039 PM, Apr 22, 2015",94.3,0.4,7020216320,2724041112
"10:01:41.039 PM, Apr 22, 2015",95.1,0,7020216320,4509030568
"10:01:42.039 PM, Apr 22, 2015",75.2,0.3,7003963392,3536187344
"10:01:43.039 PM, Apr 22, 2015",91.3,1.8,7023886336,3276542480
"10:01:44.040 PM, Apr 22, 2015",95.2,2.1,7023886336,2736653104
"10:01:45.040 PM, Apr 22, 2015",94.7,0,7023886336,5137410704
"10:01:46.042 PM, Apr 22, 2015",94.3,0.5,7014973440,4587986464
"10:01:47.042 PM, Apr 22, 2015",100,0.3,7023886336,3570283144
"10:01:48.043 PM, Apr 22, 2015",74.5,1.7,7023886336,2970377848
"10:01:49.044 PM, Apr 22, 2015",96.1,1.9,7023886336,2822664504
"10:01:50.043 PM, Apr 22, 2015",94.5,0,7023886336,4928314096
"10:01:51.043 PM, Apr 22, 2015",94.7,0.2,7000817664,4641974288
"10:01:52.043 PM, Apr 22, 2015",96,0.3,7023886336,3925967976
"10:01:53.043 PM, Apr 22, 2015",75.2,1.3,7023886336,2997673128
"10:01:54.043 PM, Apr 22, 2015",93.9,1.8,7018119168,2984091272
"10:01:55.044 PM, Apr 22, 2015",95.8,0,7018119168,5083868072
"10:01:56.044 PM, Apr 22, 2015",95.3,0.4,7006060544,4881580120
"10:01:57.044 PM, Apr 22, 2015",95.6,0.3,7023886336,4235419264
"10:01:58.044 PM, Apr 22, 2015",91.6,0.3,7003439104,3151907240
"10:01:59.044 PM, Apr 22, 2015",89.2,1.8,7023886336,3144879064
"10:02:00.044 PM, Apr 22, 2015",96.2,0,7023886336,5438713336
"10:02:01.044 PM, Apr 22, 2015",94.1,2.1,7023886336,4944626072
"10:02:02.044 PM, Apr 22, 2015",95.1,0.3,7001866240,4522582536
"10:02:03.044 PM, Apr 22, 2015",94.8,0.3,7022837760,3689344368
"10:02:04.045 PM, Apr 22, 2015",75.5,1.6,7023886336,3300076408
"10:02:05.045 PM, Apr 22, 2015",95.5,0,7023886336,5429630104
"10:02:06.045 PM, Apr 22, 2015",94.8,2.1,7023886336,4997570160
"10:02:07.045 PM, Apr 22, 2015",95.7,0.4,6998196224,4852088560
"10:02:08.045 PM, Apr 22, 2015",100,0.4,7023886336,4123764896
"10:02:09.045 PM, Apr 22, 2015",75.3,1.2,7023886336,3419617560
"10:02:10.045 PM, Apr 22, 2015",97.9,0,7023886336,5762522008
"10:02:11.045 PM, Apr 22, 2015",93.5,2.1,7017070592,5409745936
"10:02:12.046 PM, Apr 22, 2015",95.6,0.4,6998720512,5244822456
"10:02:13.046 PM, Apr 22, 2015",93.6,0.4,7021789184,4716851176
"10:02:14.046 PM, Apr 22, 2015",82.9,0.3,7002390528,3631175432
"10:02:15.046 PM, Apr 22, 2015",87,1.6,7023886336,3629143016
"10:02:16.046 PM, Apr 22, 2015",100,0,7023886336,5768068560
"10:02:17.046 PM, Apr 22, 2015",96,2.2,7023886336,5208926824
"10:02:18.046 PM, Apr 22, 2015",93.5,0.3,7012352000,4915619192
"10:02:19.046 PM, Apr 22, 2015",95,0.3,7023886336,4044116264
"10:02:20.046 PM, Apr 22, 2015",77.2,0,7023886336,6012085552
"10:02:21.046 PM, Apr 22, 2015",96.9,2,7023886336,5610301680
"10:02:22.047 PM, Apr 22, 2015",95.1,2.2,7023886336,5147547616
"10:02:23.047 PM, Apr 22, 2015",93.8,0.3,7002390528,4974843768
"10:02:24.047 PM, Apr 22, 2015",95.3,0.3,7023886336,4329220656
"10:02:25.047 PM, Apr 22, 2015",81.7,0,7023886336,5846882104
"10:02:26.047 PM, Apr 22, 2015",98.5,1.5,7023886336,5669383424
"10:02:27.047 PM, Apr 22, 2015",95.9,2.2,7013924864,5249406616
"10:02:28.047 PM, Apr 22, 2015",94.6,0.9,7006060544,5010956560
"10:02:29.047 PM, Apr 22, 2015",93.1,0.4,7003439104,4647616064
"10:02:30.047 PM, Apr 22, 2015",93.6,0,7003439104,6286383232
"10:02:31.047 PM, Apr 22, 2015",69.4,0.4,7005011968,5611990776
"10:02:32.048 PM, Apr 22, 2015",100,2.4,7023886336,5218482792
"10:02:33.048 PM, Apr 22, 2015",32,10.7,7173308416,893097848
"10:02:36.017 PM, Apr 22, 2015",0,0,7173308416,893097848
"10:02:36.018 PM, Apr 22, 2015",83.3,0,7173308416,1275292960
"10:02:36.169 PM, Apr 22, 2015",0,0,7173308416,1275292960
"10:02:37.051 PM, Apr 22, 2015",100,0,7150764032,893196152
"10:02:38.051 PM, Apr 22, 2015",96.5,0,7150764032,2924079576
"10:02:39.051 PM, Apr 22, 2015",78,0,7171735552,1830797568
"10:02:40.052 PM, Apr 22, 2015",93.1,1.8,7173308416,1717917864
"10:02:41.052 PM, Apr 22, 2015",94.9,1.9,7173308416,1303545192
"10:02:42.052 PM, Apr 22, 2015",96,0,7148142592,1252334864
"10:02:43.052 PM, Apr 22, 2015",96.2,0,7148142592,3377503008
"10:02:44.052 PM, Apr 22, 2015",94.9,0,7172259840,2571460304
"10:02:45.052 PM, Apr 22, 2015",75.2,1.2,7173308416,1934787712
"10:02:46.052 PM, Apr 22, 2015",95.9,2.1,7163871232,1627741552
"10:02:47.053 PM, Apr 22, 2015",100,0.2,7146569728,1540279392
"10:02:48.053 PM, Apr 22, 2015",96.7,0,7170162688,1362015048
"10:02:49.053 PM, Apr 22, 2015",96.9,0,7170162688,3215565344
"10:02:50.053 PM, Apr 22, 2015",79.3,0.1,7151812608,2596603376
"10:02:51.053 PM, Apr 22, 2015",95.4,1.8,7173308416,2430535312
"10:02:52.053 PM, Apr 22, 2015",94.6,1.9,7173308416,1950318784
"10:02:53.053 PM, Apr 22, 2015",93.7,0.1,7162298368,1803673400
"10:02:54.053 PM, Apr 22, 2015",95.2,0,7162298368,3690245672
"10:02:55.053 PM, Apr 22, 2015",76.1,0.1,7173308416,2494518888
"10:02:56.053 PM, Apr 22, 2015",89.8,1.9,7173308416,2269576376
"10:02:57.054 PM, Apr 22, 2015",95.3,1.9,7173308416,1822138848
"10:02:58.054 PM, Apr 22, 2015",94.9,0.1,7154434048,1721819720
"10:02:59.054 PM, Apr 22, 2015",95.6,0,7154434048,3823488200
"10:03:00.054 PM, Apr 22, 2015",94.7,0.1,7173308416,3015545664
"10:03:01.054 PM, Apr 22, 2015",80.3,1.3,7173308416,2598325904
"10:03:02.054 PM, Apr 22, 2015",96.6,1.9,7162822656,2301970848
"10:03:03.054 PM, Apr 22, 2015",96.2,0.2,7155482624,2345037680
"10:03:04.054 PM, Apr 22, 2015",96,0.1,7151812608,2093861520
"10:03:05.054 PM, Apr 22, 2015",97.4,0,7151812608,3833710840
"10:03:06.054 PM, Apr 22, 2015",75.6,0.9,7161249792,3301084400
"10:03:07.054 PM, Apr 22, 2015",94.8,1.7,7173308416,3208713032
"10:03:08.054 PM, Apr 22, 2015",100,0.6,7173308416,2983856280
"10:03:09.055 PM, Apr 22, 2015",97,0.1,7154958336,2779595032
"10:03:10.055 PM, Apr 22, 2015",95.2,0.2,7171735552,2067005144
"10:03:11.055 PM, Apr 22, 2015",73.4,0,7171735552,3996137504
"10:03:12.055 PM, Apr 22, 2015",96.4,2.1,7173308416,3839284272
"10:03:13.055 PM, Apr 22, 2015",96.2,2,7173308416,3474144968
"10:03:14.055 PM, Apr 22, 2015",96.5,0.1,7150764032,3350161672
"10:03:15.055 PM, Apr 22, 2015",95.4,0.1,7173308416,2694793512
"10:03:16.055 PM, Apr 22, 2015",80.7,1.3,7173308416,2137381160
"10:03:17.055 PM, Apr 22, 2015",94.7,0,7173308416,4364144528
"10:03:18.055 PM, Apr 22, 2015",94.3,1.9,7168065536,3961129088
"10:03:19.056 PM, Apr 22, 2015",97,0.2,7147094016,3922184448
"10:03:20.056 PM, Apr 22, 2015",96.5,0.2,7173308416,3387819248
"10:03:21.060 PM, Apr 22, 2015",77.9,1.1,7173308416,2329979776
"10:03:22.060 PM, Apr 22, 2015",99.7,1.9,7173308416,2334118920
"10:03:23.060 PM, Apr 22, 2015",97.4,0,7173308416,4609558208
"10:03:24.060 PM, Apr 22, 2015",96.4,0.3,7159676928,4551424480
"10:03:25.060 PM, Apr 22, 2015",95.1,0.1,7169638400,4052574680
"10:03:26.060 PM, Apr 22, 2015",76.7,0.1,7154958336,2956074368
"10:03:27.060 PM, Apr 22, 2015",92.3,1.8,7173308416,2858434712
"10:03:28.060 PM, Apr 22, 2015",94.9,2,7173308416,2495988088
"10:03:29.060 PM, Apr 22, 2015",96.4,0.2,7164919808,2495816056
"10:03:30.061 PM, Apr 22, 2015",97,0,7164919808,4660400472
"10:03:31.061 PM, Apr 22, 2015",90.5,0.2,7173308416,3775914056
"10:03:32.061 PM, Apr 22, 2015",81.3,1.6,7173308416,3384908392
"10:03:33.061 PM, Apr 22, 2015",96,2,7173308416,3006276920
"10:03:34.061 PM, Apr 22, 2015",94.9,0.3,7150764032,2925863408
"10:03:35.061 PM, Apr 22, 2015",93.9,0.2,7173308416,2779522536
"10:03:36.061 PM, Apr 22, 2015",95.7,0,7173308416,4284859032
"10:03:37.061 PM, Apr 22, 2015",72.4,1.2,7173308416,3341227496
"10:03:38.061 PM, Apr 22, 2015",94.2,2,7173308416,3025417200
"10:03:39.061 PM, Apr 22, 2015",95.4,0.3,7154958336,2874424168
"10:03:40.062 PM, Apr 22, 2015",96.1,0,7154958336,5221426248
"10:03:41.062 PM, Apr 22, 2015",95.3,0.2,7173308416,4528942560
"10:03:42.062 PM, Apr 22, 2015",70.5,0.2,7153385472,3295397392
"10:03:43.062 PM, Apr 22, 2015",92.9,1.9,7173308416,3218707872
"10:03:44.062 PM, Apr 22, 2015",99.5,2,7173308416,2980743528
"10:03:45.062 PM, Apr 22, 2015",94.6,0,7173308416,5040075224
"10:03:46.062 PM, Apr 22, 2015",95.8,0.2,7151288320,4700877448
"10:03:47.062 PM, Apr 22, 2015",95.4,0.3,7172259840,3823061912
"10:03:48.064 PM, Apr 22, 2015",71.7,1.7,7173308416,3123670440
"10:03:49.063 PM, Apr 22, 2015",93.4,1.6,7173308416,3282207744
"10:03:50.063 PM, Apr 22, 2015",98.7,0,7173308416,5127191352
"10:03:51.063 PM, Apr 22, 2015",96,0.3,7148142592,4927535056
"10:03:52.063 PM, Apr 22, 2015",94.4,0.2,7173308416,4242912816
"10:03:53.063 PM, Apr 22, 2015",72.8,1.2,7173308416,3247301704
"10:03:54.063 PM, Apr 22, 2015",94.8,0,7173308416,5581098392
"10:03:55.063 PM, Apr 22, 2015",92.2,2.2,7172259840,5064435880
"10:03:56.063 PM, Apr 22, 2015",100,0.4,7153385472,4777420064
"10:03:57.063 PM, Apr 22, 2015",94.2,0.3,7173308416,4370783936
"10:03:58.064 PM, Apr 22, 2015",93,0.3,7153385472,3437674496
"10:03:59.064 PM, Apr 22, 2015",85.6,1.7,7173308416,3465007448
"10:04:00.064 PM, Apr 22, 2015",93.8,0,7173308416,5561548904
"10:04:01.064 PM, Apr 22, 2015",94.9,1.9,7173308416,5074589792
"10:04:02.064 PM, Apr 22, 2015",95.4,0.3,7162822656,4698810320
"10:04:03.064 PM, Apr 22, 2015",95.1,0.3,7173308416,3884873696
"10:04:04.064 PM, Apr 22, 2015",69.3,0,7173308416,5599480192
"10:04:05.064 PM, Apr 22, 2015",93.7,1.7,7173308416,5435391816
"10:04:06.064 PM, Apr 22, 2015",94.5,2.1,7173308416,4963863032
"10:04:07.065 PM, Apr 22, 2015",95.3,0.4,7150764032,4682115336
"10:04:08.065 PM, Apr 22, 2015",94.7,0.5,7173308416,4048263672
"10:04:09.065 PM, Apr 22, 2015",77.8,0,7173308416,5432407920
"10:04:10.065 PM, Apr 22, 2015",93.5,1.3,7173308416,5382629872
"10:04:11.065 PM, Apr 22, 2015",94.8,2,7167541248,4961754880
"10:04:12.065 PM, Apr 22, 2015",97.8,0.5,7155482624,4723078840
"10:04:13.065 PM, Apr 22, 2015",95.5,0.3,7173308416,4399300008
"10:04:14.066 PM, Apr 22, 2015",95.5,0,7173308416,6090858432
"10:04:15.066 PM, Apr 22, 2015",75,0.3,7151812608,5593033896
"10:04:16.066 PM, Apr 22, 2015",94.6,2,7173308416,5412659632
"10:04:17.066 PM, Apr 22, 2015",93.9,2.2,7173308416,4975733384
