Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:35:11.638 PM, Apr 22, 2015",12.6,0,4219469824,2857038232
"9:35:12.638 PM, Apr 22, 2015",12.3,0,4219469824,2910261752
"9:35:13.638 PM, Apr 22, 2015",12.4,0,4219469824,2910515912
"9:35:14.638 PM, Apr 22, 2015",12.6,0,4219469824,2926622616
"9:35:15.638 PM, Apr 22, 2015",12.4,0,4219469824,3021575952
"9:35:16.639 PM, Apr 22, 2015",12.5,0,4219469824,3021832344
"9:35:17.639 PM, Apr 22, 2015",12.6,0,4219469824,3022084408
"9:35:18.639 PM, Apr 22, 2015",35.2,5.9,4227858432,830495760
"9:35:19.639 PM, Apr 22, 2015",96.7,0,4227858432,2879467624
"9:35:20.639 PM, Apr 22, 2015",39,0.2,4227858432,1387751216
"9:35:21.639 PM, Apr 22, 2015",12.6,0,4227858432,1418661488
"9:35:22.639 PM, Apr 22, 2015",12.4,0,4227858432,1448573592
"9:35:23.639 PM, Apr 22, 2015",12.4,0,4227858432,1465894904
"9:35:24.639 PM, Apr 22, 2015",12.5,0,4227858432,1501398776
"9:35:25.639 PM, Apr 22, 2015",13.2,0,4227858432,1524721528
"9:35:26.639 PM, Apr 22, 2015",12.3,0,4227858432,1545837960
"9:35:27.639 PM, Apr 22, 2015",12.7,0,4227858432,1591466064
"9:35:28.639 PM, Apr 22, 2015",12.4,0,4227858432,1607580568
"9:35:29.640 PM, Apr 22, 2015",12.4,0,4227858432,1623481552
"9:35:30.640 PM, Apr 22, 2015",12.6,0,4227858432,1655022408
"9:35:31.640 PM, Apr 22, 2015",12.4,0,4227858432,1710734984
"9:35:32.640 PM, Apr 22, 2015",12.4,0,4227858432,1710989744
"9:35:33.640 PM, Apr 22, 2015",12.4,0,4227858432,1727215432
"9:35:34.640 PM, Apr 22, 2015",12.6,0,4227858432,1770048400
"9:35:35.640 PM, Apr 22, 2015",12.4,0,4227858432,1812852112
"9:35:36.640 PM, Apr 22, 2015",12.5,0,4227858432,1813132808
"9:35:37.651 PM, Apr 22, 2015",12.7,0,4227858432,1834053152
"9:35:38.651 PM, Apr 22, 2015",12.4,0,4227858432,1861587584
"9:35:39.651 PM, Apr 22, 2015",12.6,0,4227858432,1886101728
"9:35:40.651 PM, Apr 22, 2015",12.6,0,4227858432,1910607992
"9:35:41.651 PM, Apr 22, 2015",12.4,0,4227858432,1963852872
"9:35:42.651 PM, Apr 22, 2015",12.4,0,4227858432,1965258536
"9:35:43.652 PM, Apr 22, 2015",12.4,0,4227858432,2018506184
"9:35:44.652 PM, Apr 22, 2015",12.6,0,4227858432,2018781528
"9:35:45.652 PM, Apr 22, 2015",12.4,0,4227858432,2129916304
"9:35:46.652 PM, Apr 22, 2015",12.7,0,4227858432,2130195072
"9:35:47.652 PM, Apr 22, 2015",12.4,0,4227858432,2130452808
"9:35:48.652 PM, Apr 22, 2015",12.6,0,4227858432,2130701272
"9:35:49.653 PM, Apr 22, 2015",46.4,6.2,4361027584,910515656
"9:35:50.652 PM, Apr 22, 2015",78.7,0.1,4361027584,1643320512
"9:35:51.652 PM, Apr 22, 2015",13,0,4361027584,1686404336
"9:35:52.652 PM, Apr 22, 2015",12.4,0,4361027584,1691216448
"9:35:53.652 PM, Apr 22, 2015",12.5,0,4361027584,1731743408
"9:35:54.653 PM, Apr 22, 2015",12.3,0,4361027584,1756357160
"9:35:55.653 PM, Apr 22, 2015",12.5,0,4361027584,1769283864
"9:35:56.653 PM, Apr 22, 2015",12.6,0,4361027584,1813448088
"9:35:57.653 PM, Apr 22, 2015",12.4,0,4361027584,1859094528
"9:35:58.653 PM, Apr 22, 2015",12.4,0,4361027584,1859361560
"9:35:59.653 PM, Apr 22, 2015",12.6,0,4361027584,1891118112
"9:36:00.653 PM, Apr 22, 2015",12.6,0,4361027584,1922632560
"9:36:01.653 PM, Apr 22, 2015",12.4,0,4361027584,1978195112
"9:36:02.653 PM, Apr 22, 2015",12.4,0,4361027584,1978473304
"9:36:03.653 PM, Apr 22, 2015",12.6,0,4361027584,2037230936
"9:36:04.653 PM, Apr 22, 2015",12.4,0,4361027584,2037500648
"9:36:05.653 PM, Apr 22, 2015",12.5,0,4361027584,2080326824
"9:36:06.653 PM, Apr 22, 2015",12.4,0,4361027584,2097496608
"9:36:07.654 PM, Apr 22, 2015",12.6,0,4361027584,2117052400
"9:36:08.654 PM, Apr 22, 2015",12.4,0,4361027584,2153529096
"9:36:09.654 PM, Apr 22, 2015",12.5,0,4361027584,2178056888
"9:36:10.654 PM, Apr 22, 2015",12.4,0,4361027584,2231304464
"9:36:11.654 PM, Apr 22, 2015",12.4,0,4361027584,2231524488
"9:36:12.654 PM, Apr 22, 2015",12.4,0,4361027584,2284763504
"9:36:13.654 PM, Apr 22, 2015",12.4,0,4361027584,2285035968
"9:36:14.654 PM, Apr 22, 2015",13.5,0,4361027584,2307579008
"9:36:15.654 PM, Apr 22, 2015",93.7,4.8,4361027584,1754731328
